A   Z  EHFB    BMIN
190 76 -1505.912 0.175
192 76 -1519.054 0.157
194 76 -1531.605 0.144
196 76 -1543.655 0.124
198 76 -1555.506 0.090
200 76 -1567.244 0.070
202 76 -1579.286 0.000
204 76 -1584.144 0.000
206 76 -1588.739 0.000
208 76 -1593.017 0.000
210 76 -1596.925 0.000
212 76 -1600.965 0.129
214 76 -1605.263 0.160
216 76 -1610.215 0.205
218 76 -1614.705 0.240
220 76 -1619.088 0.277
222 76 -1623.631 0.269
224 76 -1627.174 0.273
226 76 -1630.630 0.286
228 76 -1633.308 0.283
230 76 -1635.677 0.278
232 76 -1637.784 0.271
234 76 -1639.541 0.260
236 76 -1640.824 0.247
238 76 -1641.755 0.229
240 76 -1642.530 0.212
242 76 -1643.084 0.200
244 76 -1643.216 0.186
246 76 -1643.084 0.169
248 76 -1643.017 0.152
250 76 -1643.238 0.130
252 76 -1643.105 0.110
254 76 -1642.875 0.090
256 76 -1642.598 0.030
258 76 -1642.822 0.000
260 76 -1642.767 0.000
262 76 -1638.626 0.000
166 78 -1283.514 0.105
168 78 -1305.609 0.129
170 78 -1326.064 0.140
172 78 -1346.012 0.151
174 78 -1365.438 0.160
176 78 -1385.163 0.304
178 78 -1404.273 0.325
180 78 -1422.377 0.323
182 78 -1439.750 0.305
184 78 -1456.618 0.279
186 78 -1472.636 0.249
188 78 -1488.424 0.204
190 78 -1503.760 0.184
192 78 -1519.616 0.151
194 78 -1534.042 0.142
196 78 -1547.864 0.130
198 78 -1561.198 0.110
200 78 -1574.279 0.090
202 78 -1587.324 0.000
204 78 -1600.346 0.000
206 78 -1606.052 0.000
208 78 -1611.490 0.000
210 78 -1616.599 0.000
212 78 -1621.334 0.000
214 78 -1625.715 0.000
216 78 -1630.236 0.124
218 78 -1635.614 0.201
220 78 -1640.816 0.228
222 78 -1645.852 0.265
224 78 -1651.237 0.262
226 78 -1655.545 0.265
228 78 -1659.712 0.282
230 78 -1663.123 0.280
232 78 -1666.206 0.276
234 78 -1669.031 0.268
236 78 -1671.498 0.258
238 78 -1673.514 0.246
240 78 -1675.192 0.224
242 78 -1676.761 0.207
244 78 -1678.147 0.188
246 78 -1679.225 0.169
248 78 -1680.257 0.154
250 78 -1681.247 0.138
252 78 -1682.558 0.120
254 78 -1683.328 0.100
256 78 -1683.893 0.080
258 78 -1684.537 0.000
260 78 -1685.376 0.000
262 78 -1685.907 0.000
264 78 -1682.198 0.000
172 80 -1326.270 0.089
174 80 -1347.016 0.110
176 80 -1367.262 0.113
178 80 -1387.076 0.305
180 80 -1407.240 0.332
182 80 -1426.296 0.314
184 80 -1444.644 0.296
186 80 -1462.752 0.170
188 80 -1480.305 0.160
190 80 -1497.455 0.160
192 80 -1514.059 0.150
194 80 -1531.442 0.130
196 80 -1547.119 0.130
198 80 -1562.193 0.120
200 80 -1576.811 0.100
202 80 -1591.401 0.000
204 80 -1605.914 0.000
206 80 -1619.770 0.000
208 80 -1626.400 0.000
210 80 -1632.582 0.000
212 80 -1638.512 0.000
214 80 -1644.076 0.000
216 80 -1649.228 0.000
218 80 -1654.148 0.000
220 80 -1659.193 0.199
222 80 -1665.122 0.210
224 80 -1670.708 0.233
226 80 -1676.883 0.257
228 80 -1681.976 0.261
230 80 -1686.842 0.278
232 80 -1690.995 0.277
234 80 -1694.806 0.273
236 80 -1698.327 0.264
238 80 -1701.495 0.257
240 80 -1704.244 0.246
242 80 -1706.622 0.224
244 80 -1708.882 0.204
246 80 -1711.019 0.160
248 80 -1713.419 0.150
250 80 -1715.593 0.140
252 80 -1717.561 0.120
254 80 -1719.898 0.110
256 80 -1721.584 0.090
258 80 -1723.175 0.000
260 80 -1724.752 0.000
262 80 -1726.182 0.000
264 80 -1727.272 0.000
266 80 -1724.108 0.000
178 82 -1368.788 0.035
180 82 -1389.372 0.000
182 82 -1409.722 0.000
184 82 -1429.495 0.000
186 82 -1448.860 0.000
188 82 -1467.766 0.000
190 82 -1486.237 0.000
192 82 -1504.323 0.000
194 82 -1522.488 0.000
196 82 -1541.145 0.000
198 82 -1558.208 0.000
200 82 -1574.884 0.000
202 82 -1591.129 0.000
204 82 -1607.040 0.000
206 82 -1622.464 0.000
208 82 -1637.291 0.000
210 82 -1644.714 0.000
212 82 -1651.746 0.000
214 82 -1658.464 0.000
216 82 -1664.876 0.000
218 82 -1670.963 0.000
220 82 -1676.730 0.000
222 82 -1682.243 0.000
224 82 -1688.463 0.000
226 82 -1693.850 0.211
228 82 -1700.651 0.252
230 82 -1706.496 0.257
232 82 -1712.071 0.275
234 82 -1716.936 0.272
236 82 -1721.447 0.269
238 82 -1725.710 0.261
240 82 -1729.585 0.253
242 82 -1733.038 0.242
244 82 -1736.133 0.223
246 82 -1739.091 0.170
248 82 -1742.364 0.170
250 82 -1745.500 0.000
252 82 -1748.898 0.000
254 82 -1752.073 0.000
256 82 -1755.594 0.000
258 82 -1758.386 0.000
260 82 -1760.904 0.000
262 82 -1763.204 0.000
264 82 -1765.187 0.000
266 82 -1766.833 0.000
268 82 -1764.105 0.000
188 84 -1449.426 0.302
190 84 -1469.000 0.292
192 84 -1488.344 0.210
194 84 -1507.463 0.200
196 84 -1525.568 0.200
198 84 -1544.982 0.090
200 84 -1562.808 0.070
202 84 -1580.338 0.040
204 84 -1597.547 0.030
206 84 -1614.428 0.000
208 84 -1630.752 0.000
210 84 -1646.420 0.000
212 84 -1654.826 0.000
214 84 -1662.589 0.000
216 84 -1670.191 0.000
218 84 -1677.656 0.099
220 84 -1685.303 0.120
222 84 -1692.773 0.140
224 84 -1700.561 0.191
226 84 -1708.102 0.189
228 84 -1715.126 0.206
230 84 -1722.571 0.250
232 84 -1729.201 0.253
234 84 -1735.429 0.269
236 84 -1740.994 0.268
238 84 -1746.219 0.264
240 84 -1751.176 0.255
242 84 -1755.770 0.248
244 84 -1760.011 0.237
246 84 -1763.864 0.218
248 84 -1767.442 0.187
250 84 -1771.058 0.170
252 84 -1774.826 0.160
254 84 -1778.665 0.100
256 84 -1782.387 0.080
258 84 -1786.519 0.050
260 84 -1789.859 0.030
262 84 -1793.023 0.000
264 84 -1795.918 0.000
266 84 -1798.472 0.000
268 84 -1800.637 0.000
270 84 -1798.334 0.000
192 86 -1469.742 0.288
194 86 -1489.219 0.254
196 86 -1508.578 0.230
198 86 -1527.769 0.165
200 86 -1548.052 0.121
202 86 -1566.443 0.114
204 86 -1584.601 0.090
206 86 -1602.464 0.070
208 86 -1620.068 0.030
210 86 -1637.310 0.000
212 86 -1653.849 0.000
214 86 -1662.946 0.000
216 86 -1671.808 0.000
218 86 -1681.223 0.109
220 86 -1690.671 0.132
222 86 -1699.840 0.155
224 86 -1708.764 0.173
226 86 -1718.109 0.199
228 86 -1726.499 0.202
230 86 -1734.410 0.213
232 86 -1742.706 0.249
234 86 -1750.049 0.251
236 86 -1756.973 0.267
238 86 -1763.256 0.264
240 86 -1769.182 0.260
242 86 -1774.857 0.252
244 86 -1780.175 0.244
246 86 -1785.176 0.232
248 86 -1789.808 0.213
250 86 -1794.143 0.179
252 86 -1798.467 0.155
254 86 -1802.738 0.129
256 86 -1806.960 0.107
258 86 -1811.057 0.090
260 86 -1815.857 0.080
262 86 -1819.758 0.070
264 86 -1823.362 0.019
266 86 -1826.801 0.020
268 86 -1829.879 0.000
270 86 -1832.532 0.000
272 86 -1830.708 0.000
274 86 -1828.663 0.000
276 86 -1826.379 0.000
278 86 -1823.896 0.000
280 86 -1821.225 0.000
282 86 -1818.541 0.126
284 86 -1816.528 0.155
196 88 -1489.315 0.253
198 88 -1509.347 0.207
200 88 -1529.391 0.188
202 88 -1549.802 0.147
204 88 -1569.057 0.131
206 88 -1587.680 0.112
208 88 -1606.112 0.090
210 88 -1624.441 0.060
212 88 -1642.477 0.000
214 88 -1659.839 0.000
216 88 -1669.848 0.000
218 88 -1679.793 0.087
220 88 -1690.892 0.126
222 88 -1701.788 0.154
224 88 -1712.518 0.182
226 88 -1722.827 0.203
228 88 -1733.447 0.210
230 88 -1742.839 0.225
232 88 -1751.784 0.238
234 88 -1760.968 0.253
236 88 -1769.087 0.254
238 88 -1776.767 0.268
240 88 -1783.751 0.262
242 88 -1790.379 0.258
244 88 -1796.771 0.249
246 88 -1802.817 0.241
248 88 -1808.558 0.230
250 88 -1813.916 0.213
252 88 -1818.909 0.185
254 88 -1823.839 0.162
256 88 -1828.652 0.140
258 88 -1833.339 0.120
260 88 -1838.003 0.099
262 88 -1843.271 0.079
264 88 -1847.783 0.070
266 88 -1851.934 0.060
268 88 -1855.927 0.020
270 88 -1859.525 0.010
272 88 -1862.686 0.000
274 88 -1861.372 0.000
276 88 -1859.833 0.000
278 88 -1858.080 0.000
280 88 -1856.115 0.000
282 88 -1854.109 0.114
284 88 -1853.010 0.149
286 88 -1852.107 0.177
204 90 -1550.175 0.158
206 90 -1570.210 0.144
208 90 -1589.611 0.128
210 90 -1608.455 0.098
212 90 -1627.530 0.070
214 90 -1646.359 0.000
216 90 -1664.537 0.000
218 90 -1675.475 0.000
220 90 -1686.548 0.083
222 90 -1698.788 0.137
224 90 -1711.117 0.176
226 90 -1723.522 0.209
228 90 -1735.215 0.230
230 90 -1746.814 0.228
232 90 -1757.485 0.253
234 90 -1767.478 0.267
236 90 -1777.464 0.261
238 90 -1786.312 0.260
240 90 -1794.839 0.273
242 90 -1802.533 0.266
244 90 -1809.871 0.261
246 90 -1816.950 0.253
248 90 -1823.690 0.244
250 90 -1830.128 0.233
252 90 -1836.176 0.219
254 90 -1841.716 0.196
256 90 -1847.144 0.176
258 90 -1852.426 0.152
260 90 -1857.725 0.130
262 90 -1862.943 0.108
264 90 -1868.874 0.083
266 90 -1873.958 0.070
268 90 -1878.679 0.016
270 90 -1883.274 0.000
272 90 -1887.404 0.010
274 90 -1891.061 0.000
276 90 -1890.292 0.000
278 90 -1889.307 0.000
280 90 -1888.122 0.019
282 90 -1886.738 0.000
284 90 -1885.857 0.128
286 90 -1885.764 0.167
288 90 -1885.894 0.192
210 92 -1589.831 0.138
212 92 -1609.261 0.112
214 92 -1629.011 0.070
216 92 -1648.588 0.000
218 92 -1667.607 0.000
220 92 -1679.491 0.000
222 92 -1691.562 0.097
224 92 -1704.930 0.145
226 92 -1718.771 0.199
228 92 -1732.658 0.230
230 92 -1745.779 0.250
232 92 -1758.169 0.245
234 92 -1770.296 0.272
236 92 -1781.290 0.281
238 92 -1791.979 0.272
240 92 -1801.669 0.266
242 92 -1811.182 0.279
244 92 -1819.631 0.275
246 92 -1827.637 0.269
248 92 -1835.404 0.258
250 92 -1842.825 0.250
252 92 -1849.926 0.240
254 92 -1856.630 0.227
256 92 -1862.710 0.205
258 92 -1868.625 0.184
260 92 -1874.417 0.161
262 92 -1880.244 0.141
264 92 -1885.908 0.118
266 92 -1892.522 0.090
268 92 -1898.257 0.080
270 92 -1903.602 0.060
272 92 -1908.758 0.020
274 92 -1913.444 0.020
276 92 -1917.631 0.000
278 92 -1917.437 0.000
280 92 -1917.041 0.000
282 92 -1916.471 0.000
284 92 -1915.710 0.000
286 92 -1915.962 0.140
288 92 -1916.898 0.184
290 92 -1917.937 0.204
216 94 -1628.812 0.080
218 94 -1649.184 0.030
220 94 -1668.985 0.000
222 94 -1681.832 0.000
224 94 -1695.023 0.100
226 94 -1709.577 0.152
228 94 -1724.776 0.213
230 94 -1739.735 0.238
232 94 -1754.006 0.257
234 94 -1767.513 0.266
236 94 -1780.875 0.279
238 94 -1792.977 0.288
240 94 -1804.567 0.281
242 94 -1815.233 0.279
244 94 -1825.760 0.285
246 94 -1835.017 0.281
248 94 -1843.746 0.278
250 94 -1852.163 0.264
252 94 -1860.269 0.257
254 94 -1868.066 0.248
256 94 -1875.429 0.235
258 94 -1882.001 0.212
260 94 -1888.464 0.196
262 94 -1894.745 0.173
264 94 -1901.038 0.149
266 94 -1907.270 0.129
268 94 -1914.618 0.110
270 94 -1920.870 0.090
272 94 -1926.787 0.000
274 94 -1932.355 0.030
276 94 -1937.635 0.020
278 94 -1942.481 0.000
280 94 -1942.785 0.000
282 94 -1943.051 0.000
284 94 -1943.106 0.000
286 94 -1943.292 0.100
288 94 -1944.497 0.154
290 94 -1946.364 0.197
292 94 -1948.216 0.213
222 96 -1669.149 0.000
224 96 -1682.942 0.000
226 96 -1697.130 0.102
228 96 -1712.727 0.159
230 96 -1729.065 0.227
232 96 -1744.981 0.249
234 96 -1760.321 0.264
236 96 -1774.928 0.276
238 96 -1789.423 0.285
240 96 -1802.658 0.294
242 96 -1815.254 0.287
244 96 -1826.905 0.284
246 96 -1838.509 0.290
248 96 -1848.641 0.288
250 96 -1858.157 0.285
252 96 -1867.257 0.278
254 96 -1876.003 0.264
256 96 -1884.562 0.253
258 96 -1892.671 0.242
260 96 -1899.748 0.225
262 96 -1906.739 0.203
264 96 -1913.506 0.182
266 96 -1920.270 0.158
268 96 -1927.092 0.150
270 96 -1935.121 0.120
272 96 -1941.852 0.100
274 96 -1948.286 0.080
276 96 -1954.239 0.040
278 96 -1960.071 0.030
280 96 -1965.481 0.000
282 96 -1966.480 0.000
284 96 -1967.379 0.000
286 96 -1968.082 0.000
288 96 -1969.307 0.108
290 96 -1971.466 0.164
292 96 -1974.138 0.210
294 96 -1976.703 0.223
226 98 -1682.611 0.010
228 98 -1697.814 0.103
230 98 -1714.535 0.290
232 98 -1731.859 0.288
234 98 -1748.614 0.288
236 98 -1764.879 0.288
238 98 -1780.500 0.289
240 98 -1796.002 0.290
242 98 -1810.275 0.298
244 98 -1823.888 0.293
246 98 -1836.613 0.289
248 98 -1849.320 0.294
250 98 -1860.433 0.293
252 98 -1870.814 0.290
254 98 -1880.691 0.285
256 98 -1890.179 0.274
258 98 -1899.451 0.258
260 98 -1908.365 0.248
262 98 -1915.984 0.232
264 98 -1923.446 0.209
266 98 -1930.736 0.193
268 98 -1937.942 0.164
270 98 -1945.576 0.160
272 98 -1954.041 0.130
274 98 -1961.273 0.100
276 98 -1968.261 0.090
278 98 -1974.538 0.040
280 98 -1980.983 0.030
282 98 -1986.756 0.000
284 98 -1988.550 0.000
286 98 -1990.158 0.000
288 98 -1991.528 0.000
290 98 -1993.794 0.112
292 98 -1996.892 0.188
294 98 -2000.350 0.248
296 98 -2003.470 0.235
230 100 -1697.100 0.107
232 100 -1715.362 0.558
234 100 -1733.203 0.306
236 100 -1750.751 0.304
238 100 -1767.867 0.304
240 100 -1784.259 0.301
242 100 -1800.592 0.293
244 100 -1815.855 0.301
246 100 -1830.498 0.294
248 100 -1844.238 0.290
250 100 -1858.124 0.295
252 100 -1870.356 0.295
254 100 -1881.675 0.292
256 100 -1892.438 0.289
258 100 -1902.691 0.278
260 100 -1912.746 0.261
262 100 -1922.500 0.251
264 100 -1930.642 0.240
266 100 -1938.611 0.214
268 100 -1946.482 0.201
270 100 -1954.158 0.176
272 100 -1962.501 0.170
274 100 -1971.427 0.140
276 100 -1979.206 0.110
278 100 -1986.755 0.090
280 100 -1993.407 0.040
282 100 -2000.424 0.030
284 100 -2006.697 0.000
286 100 -2009.155 0.000
288 100 -2011.381 0.000
290 100 -2013.455 0.074
292 100 -2016.947 0.320
294 100 -2021.130 0.285
296 100 -2025.130 0.267
298 100 -2028.820 0.268
236 102 -1733.105 0.430
238 102 -1751.268 0.322
240 102 -1769.145 0.311
242 102 -1786.355 0.307
244 102 -1803.502 0.297
246 102 -1819.690 0.303
248 102 -1835.340 0.291
250 102 -1850.140 0.287
252 102 -1865.212 0.295
254 102 -1878.506 0.295
256 102 -1890.755 0.293
258 102 -1902.464 0.290
260 102 -1913.617 0.280
262 102 -1924.511 0.264
264 102 -1935.149 0.254
266 102 -1943.953 0.249
268 102 -1952.414 0.229
270 102 -1960.780 0.207
272 102 -1969.035 0.184
274 102 -1977.908 0.170
276 102 -1987.328 0.140
278 102 -1995.616 0.110
280 102 -2003.763 0.100
282 102 -2010.887 0.040
284 102 -2018.452 0.030
286 102 -2025.232 0.000
288 102 -2028.370 0.000
290 102 -2031.268 0.000
292 102 -2034.286 0.417
294 102 -2039.112 0.401
296 102 -2043.992 0.347
298 102 -2048.322 0.333
300 102 -2052.511 0.311
244 104 -1786.807 0.317
246 104 -1804.728 0.299
248 104 -1821.770 0.304
250 104 -1838.344 0.291
252 104 -1854.136 0.286
254 104 -1870.219 0.294
256 104 -1884.537 0.293
258 104 -1897.823 0.289
260 104 -1910.487 0.286
262 104 -1922.628 0.279
264 104 -1934.443 0.267
266 104 -1945.939 0.257
268 104 -1955.372 0.253
270 104 -1964.462 0.233
272 104 -1973.477 0.212
274 104 -1982.261 0.192
276 104 -1991.641 0.170
278 104 -2001.641 0.140
280 104 -2010.521 0.110
282 104 -2019.306 0.100
284 104 -2026.903 0.050
286 104 -2035.024 0.030
288 104 -2042.333 0.000
290 104 -2046.131 0.000
292 104 -2049.692 0.000
294 104 -2054.551 0.413
296 104 -2060.030 0.400
298 104 -2065.484 0.357
300 104 -2070.481 0.354
302 104 -2075.168 0.345
250 106 -1822.001 0.305
252 106 -1839.491 0.280
254 106 -1856.196 0.278
256 106 -1873.193 0.289
258 106 -1888.522 0.288
260 106 -1902.770 0.285
262 106 -1916.498 0.281
264 106 -1929.711 0.276
266 106 -1942.622 0.265
268 106 -1955.180 0.256
270 106 -1965.404 0.253
272 106 -1975.236 0.240
274 106 -1984.758 0.221
276 106 -1994.202 0.197
278 106 -2003.793 0.180
280 106 -2014.437 0.140
282 106 -2023.970 0.110
284 106 -2033.427 0.100
286 106 -2041.521 0.050
288 106 -2050.211 0.030
290 106 -2058.026 0.000
292 106 -2062.503 0.000
294 106 -2066.736 0.000
296 106 -2073.092 0.416
298 106 -2079.204 0.405
300 106 -2085.120 0.376
302 106 -2090.751 0.371
304 106 -2096.014 0.361
256 108 -1856.370 0.262
258 108 -1874.162 0.285
260 108 -1890.374 0.284
262 108 -1905.594 0.281
264 108 -1920.360 0.277
266 108 -1934.653 0.271
268 108 -1948.669 0.262
270 108 -1962.321 0.255
272 108 -1973.363 0.249
274 108 -1983.988 0.236
276 108 -1994.311 0.223
278 108 -2004.433 0.197
280 108 -2014.647 0.155
282 108 -2025.844 0.131
284 108 -2035.980 0.110
286 108 -2046.097 0.100
288 108 -2054.742 0.060
290 108 -2064.019 0.030
292 108 -2072.365 0.000
294 108 -2077.504 0.000
296 108 -2083.271 0.757
298 108 -2090.440 0.748
300 108 -2097.037 0.754
302 108 -2103.208 0.735
304 108 -2109.257 0.383
306 108 -2115.103 0.375
264 110 -1906.266 0.276
266 110 -1921.873 0.267
268 110 -1937.123 0.259
270 110 -1952.191 0.253
272 110 -1966.892 0.248
274 110 -1978.994 0.239
276 110 -1990.715 0.229
278 110 -2002.000 0.216
280 110 -2013.018 0.190
282 110 -2024.093 0.155
284 110 -2035.986 0.133
286 110 -2046.559 0.110
288 110 -2057.339 0.100
290 110 -2066.590 0.050
292 110 -2076.467 0.040
294 110 -2085.319 0.000
296 110 -2091.145 0.000
298 110 -2098.340 0.760
300 110 -2106.051 0.752
302 110 -2113.251 0.764
304 110 -2119.981 0.732
306 110 -2126.106 0.398
