A   Z  EHFB    BMIN
86 36 -746.954 0.000
88 36 -757.040 0.086
90 36 -767.158 0.196
92 36 -777.531 0.140
94 36 -785.646 0.150
96 36 -793.064 0.302
98 36 -799.819 0.296
100 36 -805.478 0.241
102 36 -810.914 0.247
104 36 -815.484 0.242
106 36 -819.175 0.230
108 36 -822.243 0.160
110 36 -825.058 0.140
112 36 -827.440 0.040
114 36 -829.866 0.026
116 36 -831.925 0.000
118 36 -833.525 0.000
120 36 -830.990 0.000
70 38 -542.253 0.242
72 38 -575.041 0.257
74 38 -604.761 0.170
76 38 -633.766 0.503
78 38 -659.851 0.000
80 38 -684.459 0.000
82 38 -706.514 0.000
84 38 -727.780 0.000
86 38 -748.000 0.000
88 38 -767.086 0.000
90 38 -778.962 0.000
92 38 -790.143 0.090
94 38 -802.490 0.130
96 38 -812.418 0.140
98 38 -821.745 0.452
100 38 -830.593 0.448
102 38 -838.425 0.445
104 38 -845.196 0.438
106 38 -851.048 0.230
108 38 -856.471 0.220
110 38 -861.665 0.150
112 38 -866.242 0.000
114 38 -870.667 0.000
116 38 -874.638 0.000
118 38 -878.262 0.000
120 38 -881.126 0.000
122 38 -879.717 0.000
74 40 -572.899 0.240
76 40 -605.199 0.200
78 40 -636.532 0.000
80 40 -666.189 0.000
82 40 -692.985 0.000
84 40 -717.123 0.000
86 40 -740.522 0.000
88 40 -762.831 0.000
90 40 -783.994 0.000
92 40 -797.731 0.000
94 40 -810.636 0.000
96 40 -824.319 0.000
98 40 -835.728 0.150
100 40 -846.682 0.170
102 40 -856.977 0.200
104 40 -866.670 0.210
106 40 -875.642 0.230
108 40 -883.765 0.230
110 40 -890.926 0.210
112 40 -897.644 0.000
114 40 -904.123 0.000
116 40 -910.074 0.000
118 40 -915.568 0.000
120 40 -920.563 0.000
122 40 -925.132 0.000
124 40 -924.660 0.000
126 40 -923.924 0.000
78 42 -603.904 0.000
80 42 -637.733 0.000
82 42 -669.470 0.000
84 42 -697.435 0.000
86 42 -724.260 0.000
88 42 -749.863 0.000
90 42 -774.331 0.000
92 42 -797.656 0.000
94 42 -813.174 0.000
96 42 -827.834 0.000
98 42 -843.046 0.000
100 42 -856.128 0.140
102 42 -868.766 0.170
104 42 -880.954 0.210
106 42 -892.444 0.216
108 42 -903.325 0.230
110 42 -913.194 0.230
112 42 -922.038 0.220
114 42 -929.914 0.000
116 42 -938.070 0.000
118 42 -945.711 0.000
120 42 -952.841 0.000
122 42 -959.482 0.000
124 42 -965.710 0.000
126 42 -966.230 0.000
128 42 -966.481 0.000
130 42 -966.325 0.000
132 42 -965.946 0.000
134 42 -965.098 0.000
84 44 -669.136 0.000
86 44 -699.650 0.000
88 44 -728.757 0.000
90 44 -756.584 0.000
92 44 -783.266 0.000
94 44 -808.770 0.000
96 44 -825.966 0.000
98 44 -842.492 0.156
100 44 -859.621 0.141
102 44 -874.494 0.141
104 44 -888.438 0.140
106 44 -902.055 0.310
108 44 -915.202 0.300
110 44 -927.714 0.290
112 44 -939.060 0.230
114 44 -949.545 0.220
116 44 -959.407 0.000
118 44 -969.254 0.000
120 44 -978.556 0.000
122 44 -987.348 0.000
124 44 -995.629 0.000
126 44 -1003.412 0.000
128 44 -1005.024 0.000
130 44 -1006.230 0.000
132 44 -1007.094 0.000
134 44 -1007.552 0.000
136 44 -1007.329 0.000
138 44 -1006.619 0.000
140 44 -1005.481 0.000
142 44 -1004.006 0.000
144 44 -1002.350 0.290
146 44 -1001.112 0.290
88 46 -699.649 0.000
90 46 -730.992 0.000
92 46 -761.066 0.106
94 46 -789.873 0.000
96 46 -817.521 0.000
98 46 -836.390 0.000
100 46 -854.914 0.160
102 46 -873.752 0.148
104 46 -890.393 0.148
106 46 -906.086 0.148
108 46 -920.944 0.148
110 46 -935.069 0.147
112 46 -949.009 0.197
114 46 -962.050 0.203
116 46 -974.318 0.212
118 46 -986.533 0.129
120 46 -997.934 0.000
122 46 -1008.881 0.000
124 46 -1019.308 0.000
126 46 -1029.255 0.000
128 46 -1038.630 0.000
130 46 -1041.313 0.000
132 46 -1043.546 0.000
134 46 -1045.403 0.000
136 46 -1046.786 0.000
138 46 -1047.342 0.000
140 46 -1047.417 0.000
142 46 -1047.360 0.158
144 46 -1047.415 0.250
146 46 -1047.370 0.280
148 46 -1046.915 0.278
150 46 -1046.086 0.265
152 46 -1045.006 0.240
92 48 -730.696 0.000
94 48 -762.897 0.000
96 48 -794.079 0.000
98 48 -823.986 0.000
100 48 -844.584 0.000
102 48 -864.335 0.118
104 48 -884.924 0.141
106 48 -903.322 0.145
108 48 -920.720 0.146
110 48 -937.317 0.144
112 48 -953.125 0.143
114 48 -968.195 0.146
116 48 -983.010 0.198
118 48 -996.813 0.205
120 48 -1011.159 0.000
122 48 -1024.263 0.000
124 48 -1036.836 0.000
126 48 -1048.912 0.000
128 48 -1060.412 0.000
130 48 -1071.356 0.000
132 48 -1075.175 0.000
134 48 -1078.450 0.000
136 48 -1081.251 0.000
138 48 -1083.651 0.000
140 48 -1085.068 0.000
142 48 -1086.054 0.000
144 48 -1087.114 0.136
146 48 -1088.461 0.296
148 48 -1089.634 0.306
150 48 -1090.235 0.304
152 48 -1090.361 0.295
154 48 -1090.149 0.273
156 48 -1089.684 0.237
158 48 -1088.973 0.214
160 48 -1088.012 0.201
162 48 -1087.336 0.148
164 48 -1086.098 0.127
166 48 -1084.756 0.083
168 48 -1083.539 0.000
170 48 -1082.173 0.000
172 48 -1080.584 0.000
174 48 -1078.712 0.000
96 50 -762.939 0.000
98 50 -796.172 0.000
100 50 -828.024 0.000
102 50 -850.218 0.010
104 50 -871.851 0.000
106 50 -893.301 0.000
108 50 -913.095 0.000
110 50 -932.168 0.025
112 50 -950.495 0.025
114 50 -968.150 0.029
116 50 -985.281 0.000
118 50 -1001.593 0.010
120 50 -1017.192 0.000
122 50 -1033.432 0.000
124 50 -1048.148 0.000
126 50 -1062.367 0.000
128 50 -1075.958 0.000
130 50 -1089.045 0.000
132 50 -1101.670 0.000
134 50 -1106.468 0.000
136 50 -1110.792 0.000
138 50 -1114.691 0.000
140 50 -1118.138 0.000
142 50 -1120.501 0.000
144 50 -1122.438 0.000
146 50 -1124.137 0.000
148 50 -1126.616 0.296
150 50 -1128.964 0.305
152 50 -1130.704 0.305
154 50 -1131.897 0.301
156 50 -1132.637 0.290
158 50 -1133.006 0.271
160 50 -1133.094 0.252
162 50 -1132.948 0.233
164 50 -1133.624 0.000
166 50 -1133.953 0.000
168 50 -1134.130 0.000
170 50 -1134.123 0.000
172 50 -1133.920 0.000
174 50 -1133.508 0.000
176 50 -1132.809 0.000
108 52 -895.432 0.156
110 52 -917.036 0.156
112 52 -937.628 0.155
114 52 -957.441 0.286
116 52 -976.791 0.322
118 52 -995.269 0.328
120 52 -1013.011 0.203
122 52 -1029.940 0.219
124 52 -1047.018 0.126
126 52 -1062.892 0.116
128 52 -1078.452 0.030
130 52 -1093.562 0.000
132 52 -1108.148 0.000
134 52 -1122.168 0.000
136 52 -1128.157 0.000
138 52 -1133.841 0.099
140 52 -1139.369 0.153
142 52 -1144.604 0.155
144 52 -1148.934 0.173
146 52 -1153.081 0.221
148 52 -1157.212 0.262
150 52 -1161.169 0.290
152 52 -1164.781 0.308
154 52 -1167.775 0.312
156 52 -1170.145 0.310
158 52 -1171.909 0.300
160 52 -1173.214 0.281
162 52 -1174.242 0.257
164 52 -1175.050 0.238
166 52 -1175.650 0.164
168 52 -1176.421 0.130
170 52 -1177.170 0.091
172 52 -1178.056 0.037
174 52 -1179.011 0.000
176 52 -1179.769 0.000
178 52 -1180.305 0.000
180 52 -1176.085 0.000
110 54 -895.551 0.220
112 54 -919.339 0.247
114 54 -941.981 0.276
116 54 -963.844 0.338
118 54 -985.024 0.337
120 54 -1005.122 0.339
122 54 -1024.280 0.326
124 54 -1042.395 0.243
126 54 -1059.876 0.177
128 54 -1077.074 0.164
130 54 -1093.458 0.135
132 54 -1109.373 0.092
134 54 -1125.228 0.000
136 54 -1140.670 0.000
138 54 -1147.884 0.088
140 54 -1155.790 0.142
142 54 -1163.428 0.179
144 54 -1170.102 0.188
146 54 -1176.239 0.225
148 54 -1182.170 0.258
150 54 -1187.773 0.276
152 54 -1193.051 0.295
154 54 -1197.966 0.314
156 54 -1202.184 0.318
158 54 -1205.709 0.314
160 54 -1208.492 0.302
162 54 -1210.774 0.283
164 54 -1212.792 0.256
166 54 -1214.658 0.237
168 54 -1216.043 0.198
170 54 -1217.385 0.157
172 54 -1218.763 0.133
174 54 -1220.116 0.091
176 54 -1221.800 0.018
178 54 -1223.642 0.000
180 54 -1225.228 0.000
182 54 -1221.461 0.000
114 56 -919.569 0.276
116 56 -944.999 0.406
118 56 -968.528 0.399
120 56 -991.025 0.371
122 56 -1012.676 0.357
124 56 -1033.232 0.329
126 56 -1052.532 0.282
128 56 -1071.126 0.255
130 56 -1089.016 0.190
132 56 -1106.534 0.158
134 56 -1123.513 0.119
136 56 -1140.304 0.041
138 56 -1157.073 0.000
140 56 -1165.777 0.099
142 56 -1175.339 0.159
144 56 -1184.824 0.194
146 56 -1193.140 0.217
148 56 -1201.080 0.248
150 56 -1208.848 0.289
152 56 -1215.951 0.309
154 56 -1222.553 0.314
156 56 -1228.735 0.324
158 56 -1234.059 0.324
160 56 -1238.621 0.317
162 56 -1242.361 0.301
164 56 -1245.662 0.278
166 56 -1248.747 0.256
168 56 -1251.650 0.240
170 56 -1253.955 0.212
172 56 -1255.895 0.176
174 56 -1258.037 0.147
176 56 -1260.075 0.113
178 56 -1262.427 0.055
180 56 -1265.311 0.000
182 56 -1267.938 0.000
184 56 -1264.741 0.000
118 58 -946.403 0.412
120 58 -971.454 0.418
122 58 -995.366 0.415
124 58 -1018.142 0.379
126 58 -1039.740 0.358
128 58 -1060.352 0.322
130 58 -1079.913 0.272
132 58 -1098.574 0.213
134 58 -1117.587 0.176
136 58 -1135.762 0.131
138 58 -1153.704 0.027
140 58 -1171.916 0.000
142 58 -1181.728 0.090
144 58 -1192.587 0.162
146 58 -1203.487 0.198
148 58 -1213.549 0.250
150 58 -1223.547 0.315
152 58 -1233.243 0.315
154 58 -1241.924 0.335
156 58 -1249.752 0.341
158 58 -1257.084 0.344
160 58 -1263.412 0.342
162 58 -1268.961 0.339
164 58 -1273.559 0.323
166 58 -1277.756 0.289
168 58 -1281.919 0.259
170 58 -1285.964 0.242
172 58 -1289.296 0.216
174 58 -1292.040 0.185
176 58 -1294.923 0.153
178 58 -1297.786 0.124
180 58 -1300.989 0.070
182 58 -1304.793 0.000
184 58 -1308.411 0.000
186 58 -1305.882 0.000
122 60 -971.979 0.428
124 60 -997.292 0.421
126 60 -1021.365 0.407
128 60 -1044.207 0.373
130 60 -1066.206 0.417
132 60 -1086.866 0.444
134 60 -1106.832 0.244
136 60 -1126.607 0.176
138 60 -1146.003 0.139
140 60 -1165.297 0.000
142 60 -1184.818 0.000
144 60 -1195.774 0.076
146 60 -1207.740 0.165
148 60 -1219.991 0.201
150 60 -1231.797 0.266
152 60 -1244.076 0.350
154 60 -1255.052 0.345
156 60 -1265.293 0.354
158 60 -1274.454 0.365
160 60 -1282.900 0.361
162 60 -1290.364 0.364
164 60 -1296.976 0.373
166 60 -1302.787 0.398
168 60 -1307.699 0.299
170 60 -1312.815 0.267
172 60 -1317.963 0.249
174 60 -1322.180 0.224
176 60 -1325.753 0.194
178 60 -1329.395 0.156
180 60 -1333.242 0.125
